"Tablas";"userOPAC";"userINTRA";"userDevelop";"userAdmin"
"| pref_estructura_campo_marc        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_estructura_subcampo_marc     ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_feriado                      ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_informacion_referencia       ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_iso2709                      ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_palabra_frecuente            ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_preferencia_sistema          ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_relacion_unidad_informacion  ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_servidor_z3950               ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_tabla_referencia             ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_tabla_referencia_info        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_unidad_informacion           ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| pref_valor_autorizado             ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_disponibilidad                ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_dpto_partido                  ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_estado                        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_idioma                        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_localidad                     ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_nivel_bibliografico           ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_pais                          ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_provincia                     ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_soporte                       ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| ref_tipo_operacion                ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_busqueda                      ";"SELECT, INSERT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_busqueda            ";"SELECT, INSERT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_circulacion         ";"SELECT, INSERT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_prestamo            ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_historial_sancion             ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| rep_registro_modificacion         ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| sist_sesion                       ";"SELECT, INSERT, UPDATE, DELETE";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_estado                        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_permiso                       ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_persona                       ";"SELECT, UPDATE";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_categoria_socio           ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_estado                    ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_ref_tipo_documento            ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_socio                         ";"SELECT, UPDATE";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| usr_socio_relacionado             ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| z3950queue                        ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| z3950results                      ";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_general";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_circulacion";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_reporte";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| perm_catalogo";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
"| cat_portada_registro";"SELECT";"SELECT, INSERT, UPDATE, DELETE";"ALL";"ALTER,INSERT,UPDATE, DELETE, CREATE, DROP"
